ID1,HHID,QHCLUSTER,QHNUMBER,QHHOME,PS94_1A,PS94_1M,PS94_1S,PS2,HVIDX
2024,      353906901,3539,69,1,1,5,2,1,3
2024,      373107201,3731,72,1,1,0,2,1,2
2024,      385202501,3852,25,1,0,1,2,1,2
2024,      390400201,3904,2,1,0,1,2,1,1
2024,      396605201,3966,52,1,0,1,2,1,2
2024,      415605701,4156,57,1,2,3,2,1,1
2024,      421511801,4215,118,1,0,1,2,1,2
2024,      425406201,4254,62,1,0,1,2,1,2
2024,      425500401,4255,4,1,0,1,2,1,1
2024,      425500801,4255,8,1,0,1,2,1,2
2024,      425500901,4255,9,1,0,1,2,1,2
2024,      425501001,4255,10,1,0,1,1,1,1
2024,      425501001,4255,10,1,0,1,2,2,2
2024,      425501101,4255,11,1,0,1,2,1,1
2024,      425501501,4255,15,1,0,1,1,1,1
2024,      425501501,4255,15,1,0,1,2,2,2
2024,      425501801,4255,18,1,0,1,2,1,1
2024,      425502401,4255,24,1,0,1,1,1,1
2024,      425502401,4255,24,1,0,1,2,2,2
2024,      429700501,4297,5,1,2,0,2,1,1
2024,      431201801,4312,18,1,0,1,2,1,1
2024,      432005301,4320,53,1,0,1,2,1,1
2024,      439214801,4392,148,1,0,1,2,1,3
2024,      445100101,4451,1,1,0,1,2,1,1
2024,      445104001,4451,40,1,0,1,2,1,1
2024,      482401701,4824,17,1,0,1,1,1,1
2024,      482401701,4824,17,1,0,1,2,2,2
2024,      482403901,4824,39,1,0,1,2,1,1
2024,      482404501,4824,45,1,0,1,2,1,2
2024,      482404801,4824,48,1,0,1,2,1,2
2024,      489512001,4895,120,1,0,1,2,1,1
2024,      492908001,4929,80,1,0,1,2,1,1
2024,      493102801,4931,28,1,0,1,2,1,2
2024,      493103101,4931,31,1,0,1,2,1,1
2024,      493107001,4931,70,1,0,1,2,1,2
2024,      497102001,4971,20,1,0,1,2,1,2
2024,      499000601,4990,6,1,0,6,2,1,2
2024,      507500201,5075,2,1,1,0,2,1,2
2024,      507501001,5075,10,1,1,0,2,1,2
2024,      507503501,5075,35,1,0,1,2,1,1
2024,      507508201,5075,82,1,0,1,2,1,2
2024,      510204501,5102,45,1,0,1,2,1,1
2024,      530404601,5304,46,1,0,1,2,1,2
2024,      530405201,5304,52,1,0,1,2,1,1
2024,      530405301,5304,53,1,0,1,2,1,1
2024,      537002601,5370,26,1,0,1,2,1,2
2024,      551205501,5512,55,1,0,1,2,1,2
2024,      557607301,5576,73,1,0,1,2,1,1
2024,      558400301,5584,3,1,0,1,2,1,1
2024,      577501201,5775,12,1,1,0,2,1,2
2024,      598901701,5989,17,1,0,1,2,1,4
2024,      598901801,5989,18,1,0,1,2,1,1
2024,      598904101,5989,41,1,0,1,2,1,2
2024,      598905201,5989,52,1,0,1,2,1,3
2024,      598906501,5989,65,1,0,1,2,1,2
2024,      600406301,6004,63,1,0,1,2,1,1
2024,      600508601,6005,86,1,0,1,2,1,2
2024,      600702501,6007,25,1,0,1,2,1,1
2024,      600704701,6007,47,1,0,1,2,1,1
2024,      600709001,6007,90,1,0,1,2,1,1
2024,      602300501,6023,5,1,0,1,1,1,2
2024,      602300501,6023,5,1,0,1,2,2,3
2024,      602303101,6023,31,1,0,1,2,1,1
2024,      602303201,6023,32,1,0,1,2,1,2
2024,      602303401,6023,34,1,0,1,2,1,2
2024,      602303701,6023,37,1,0,1,2,1,1
2024,      602303901,6023,39,1,0,1,2,1,2
2024,      602304101,6023,41,1,0,1,2,1,2
2024,      618003001,6180,30,1,0,4,2,1,1
2024,      619701101,6197,11,1,0,1,2,1,1
2024,      619702401,6197,24,1,0,1,2,1,1
2024,      619703501,6197,35,1,0,1,2,1,2
2024,      637403001,6374,30,1,0,1,2,1,1
2024,      638803801,6388,38,1,0,1,2,1,1
2024,      639806201,6398,62,1,0,1,2,1,5
2024,      642805601,6428,56,1,0,2,2,1,2
2024,      646900101,6469,1,1,0,1,2,1,2
2024,      646904601,6469,46,1,0,1,2,1,1
